screen_name,user_id,location,description,url,gender,party,state,district
RepMarkWalker,2966205003,,US Congressman. @housegop Vice Chair. Ranking Member on Subcommittee for Intelligence and Counterterrorism. Former Pastor gratefully representing #NC06.,https://t.co/uvTWAFvWvC,M,R,NC,6.0
SenMcSallyAZ,2964949642,"Arizona, USA",First female fighter pilot to fly in combat. Veteran. Dog mom to Boomer. Proudly representing the people of Arizona in the U.S Senate.,https://t.co/ZaC11aNF6e,F,R,AZ,
RepBost,2964877294,IL-12 Congressional District,"Member of Congress proudly representing IL-12. Serving on @TransportGOP, @HouseAgGOP, and @HouseVetAffairs Committees. Find me on FB at https://t.co/cjWY9Itiyr",https://t.co/4tXoH7NdiQ,M,R,IL,12.0
RepAlexMooney,2964526557,"Charles Town, WV","Husband, Father, Conservative Representing West Virginia's 2nd Congressional District. #wv02 #wvpol Member of @financialcmte",https://t.co/dKSBzlN9IY,M,R,WV,2.0
RepRickAllen,2964287128,"Augusta, GA and Washington, DC",Proudly representing Georgia's 12th Congressional District,https://t.co/WfV96n5LQo,M,R,GA,12.0
SenThomTillis,2964174789,"North Carolina, USA",Official Twitter account of North Carolina U.S. Senator Thom Tillis.,https://t.co/mLVkKiULqh,M,R,NC,
HurdOnTheHill,2963445730,#TX23,"Serving #TX23 in Congress on @HouseAppropsGOP & #Intel, #SanAntonio native, @TAMU grad, formerly undercover @CIA",https://t.co/AZDfh0jDnz,M,R,TX,23.0
SenSasse,2962923040,,The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.,,M,R,NE,
RepAbraham,2962891515,,"Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.",,M,R,LA,5.0
RepDonBeyer,2962868158,Northern Virginia & DC,"Representing Northern Virginia’s #VA8 in Congress. Serve on @WaysMeansCmte, @HouseScience. Co-Chair @CaucusOnClimate. #StopGunViolence #EqualPay",https://t.co/GLUWQ3oyIM,M,D,VA,8.0
RepStefanik,2962813893,,"Official Twitter Account for Congresswoman Elise Stefanik, proudly representing New York's 21st District.",https://t.co/OrCTHWbOd1,F,R,NY,21.0
SenatorRounds,2955485182,"Pierre, South Dakota",U.S. Senator for South Dakota,http://t.co/gMVH2AwcFu,M,R,SD,
RepFrenchHill,2953974395,"Little Rock, AR",Official account of Rep. French Hill. 9th generation Arkansan. @FinancialCmte Subcommittee Ranking Member. Proudly representing AR-02.,https://t.co/TggD8rLd3M,M,R,AR,2.0
